Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.1404	0.0215	0.1531
p23.H1	p11.H9	0.1346	0.0256	0.1898
p23.H1	p12.G7	0.1276	0.0144	0.1125
p26.A2	p11.H9	0.1346	0.0256	0.1898
p26.A2	p12.G7	0.1276	0.0144	0.1125
p26.E9	p11.H9	0.1498	0.0272	0.1819
p26.E9	p12.G7	0.1229	0.0149	0.1211
p26.E9	p23.H1	0.0524	0.0028	0.0539
p26.E9	p26.A2	0.0524	0.0028	0.0539
p26.F2	p11.H9	0.1346	0.0256	0.1898
p26.F2	p12.G7	0.1276	0.0144	0.1125
p26.F2	p26.E9	0.0524	0.0028	0.0539
p26.G7	p11.H9	0.1460	0.0243	0.1662
p26.G7	p12.G7	0.2040	0.0132	0.0646
p26.G7	p23.H1	0.0678	0.0057	0.0835
p26.G7	p26.A2	0.0678	0.0057	0.0835
p26.G7	p26.E9	0.0643	0.0062	0.0965
p26.G7	p26.F2	0.0678	0.0057	0.0835
p2.B9	p11.H9	0.1377	0.0261	0.1899
p2.B9	p12.G7	0.1328	0.0149	0.1125
p2.B9	p26.E9	0.0629	0.0034	0.0539
p2.B9	p26.G7	0.0746	0.0062	0.0835
p3.C1	p11.H9	0.1388	0.0237	0.1708
p3.C1	p12.G7	0.2106	0.0126	0.0599
p3.C1	p23.H1	0.0580	0.0051	0.0879
p3.C1	p26.A2	0.0580	0.0051	0.0879
p3.C1	p26.E9	0.0559	0.0056	0.1010
p3.C1	p26.F2	0.0580	0.0051	0.0879
p3.C1	p2.B9	0.0645	0.0057	0.0879
p3.C8	p11.H9	0.1346	0.0256	0.1898
p3.C8	p12.G7	0.1276	0.0144	0.1125
p3.C8	p26.E9	0.0524	0.0028	0.0539
p3.C8	p26.G7	0.0678	0.0057	0.0835
p3.C8	p3.C1	0.0580	0.0051	0.0879
p6.G8	p11.H9	0.0510	0.0017	0.0334
p6.G8	p12.G7	0.1378	0.0210	0.1521
p6.G8	p23.H1	0.1360	0.0238	0.1753
p6.G8	p26.A2	0.1360	0.0238	0.1753
p6.G8	p26.E9	0.1774	0.0256	0.1441
p6.G8	p26.F2	0.1360	0.0238	0.1753
p6.G8	p26.G7	0.1418	0.0237	0.1675
p6.G8	p2.B9	0.1394	0.0244	0.1753
p6.G8	p3.C1	0.1347	0.0232	0.1721
p6.G8	p3.C8	0.1360	0.0238	0.1753
p7.B1	p11.H9	0.1289	0.0250	0.1937
p7.B1	p12.G7	0.1074	0.0132	0.1226
p7.B1	p23.H1	0.0702	0.0045	0.0646
p7.B1	p26.A2	0.0702	0.0045	0.0646
p7.B1	p26.E9	0.0775	0.0028	0.0364
p7.B1	p26.F2	0.0702	0.0045	0.0646
p7.B1	p26.G7	0.0538	0.0045	0.0840
p7.B1	p2.B9	0.0790	0.0051	0.0646
p7.B1	p3.C1	0.0448	0.0040	0.0884
