molecule	gene	start	end	strand	direction
33_p2.H1_cl9	 Protein of unknown function (DUF1654)	249	1	reverse	-
33_p2.H1_cl9	 lexA; repressor LexA [EC:3.4.21.88]	1106	402	reverse	-
33_p2.H1_cl9	 hypothetical protein	1203	1640	forward	+
33_p2.H1_cl9	 Colicin M	2113	2943	forward	+
33_p2.H1_cl9	 hypothetical protein	3604	3993	forward	+
33_p2.H1_cl9	 hypothetical protein	3971	4312	forward	+
33_p2.H1_cl9	 REFSEQ hypothetical protein	4358	4948	forward	+
33_p2.H1_cl9	 Protein of unknown function (DUF2635)	4945	5133	forward	+
33_p2.H1_cl9	 sp|P44233|VPL_HAEIN Mu-like prophage FluMu tail sheath protein	5152	6648	forward	+
33_p2.H1_cl9	 Phage tail tube protein	6709	7056	forward	+
33_p2.H1_cl9	 Phage tail assembly chaperone proteins, E, or 41 or 14	7053	7349	forward	+
33_p2.H1_cl9	 hypothetical protein	7455	7360	reverse	-
33_p2.H1_cl9	 REFSEQ hypothetical protein	7480	9624	forward	+
33_p2.H1_cl9	 sp|P71389|VPN_HAEIN Mu-like prophage FluMu DNA circularization protein	9621	11045	forward	+
33_p2.H1_cl9	 sp|P10312|BPD_BPP2 Probable baseplate hub protein	11049	12158	forward	+
33_p2.H1_cl9	 Bacteriophage Mu Gp45 protein	12155	12667	forward	+
33_p2.H1_cl9	 Phage protein GP46	12664	13062	forward	+
33_p2.H1_cl9	 Baseplate J-like protein	13052	14092	forward	+
33_p2.H1_cl9	 Uncharacterised protein conserved in bacteria (DUF2313)	14080	14679	forward	+
33_p2.H1_cl9	 REFSEQ hypothetical protein	14690	16150	forward	+
33_p2.H1_cl9	 Caudovirales tail fibre assembly protein, lambda gpK	16158	16724	forward	+
