,D,Pval.normal,Pval.beta,window
1,-6.35100851895547,2.14E-10,0,100
2,-5.58267204832502,2.37E-08,0,200
3,-4.8426694470955,1.28E-06,0,300
4,-4.26921223831648,1.96E-05,0,400
5,-2.85955666430792,0.00424233620203,0,500
6,-2.21445549724283,0.026797460837962,0,600
7,-1.66545391104484,0.095822231417078,0,700
8,-1.15344429850972,0.248728067918946,0.297706911300831,800
9,-0.915547470104245,0.359904293772474,0.465080192051133,900
10,-1.00611692297906,0.314359328993699,0.401983215464408,1000
11,-1.09380575884831,0.274040177861231,0.340163651458628,1100
12,-1.3191899130428,0.187105629656476,0.177919650717218,1200
13,-1.97519787578118,0.048245696895976,0,1300
14,-2.4805696077194,0.013117264969521,0,1400
15,-3.84591343957452,0.000120104160805,0,1500
16,-6.38027011856706,1.77E-10,0,1600
17,-6.353648913796,2.10E-10,0,1700
18,-6.29223679749777,3.13E-10,0,1800
19,-3.66656501741601,0.000245830436432,0,1900
20,-3.1674492103409,0.001537825696928,0,2000
21,-2.56248985067561,0.010392462506878,0,2100
22,-1.99348230939039,0.046208658796024,0,2200
23,-1.51672085959696,0.129337175435172,0.031311929704485,2300
24,-0.795067281955791,0.426574365418679,0.547828241729885,2400
25,-0.221452471695018,0.824740139939988,0.922731505304603,2500
26,0.294214550356192,0.768593962869129,0.769158813423851,2600
27,0.527104133426544,0.598121276501831,0.640004985852053,2700
28,0.803569117400972,0.42164586462779,0.495694860097665,2800
29,0.850224425476696,0.395200324365533,0.47237699985679,2900
30,0.881831436294562,0.377867968958676,0.456758779030682,3000
31,0.76290517127245,0.445519951940706,0.516270228282544,3100
32,0.804054965529659,0.421365231610493,0.495450436862413,3200
33,0.767775368471702,0.44262065056644,0.513793758633446,3300
34,0.926714051725582,0.354075019827245,0.434833273352792,3400
35,0.793670522458041,0.427387265197912,0.500681977594083,3500
36,0.58216405350315,0.560456183527691,0.610457157214829,3600
37,0.111427099777019,0.911277671352363,0.875021836741,3700
38,-0.228165861606919,0.819517299967217,0.918532474013581,3800
39,-0.378397431685418,0.705135375828143,0.82336836212961,3900
40,-0.209715411330693,0.833889796502793,0.930061559005328,4000
41,-0.26111102182846,0.794006892256446,0.897859272891177,4100
42,-0.123979267097373,0.901331690856654,0.983172551806941,4200
43,-0.144374818834864,0.885204500127333,0.970607579302731,4300
44,-0.102498606058535,0.918360919227521,0.99635874964404,4400
45,-0.213812059391783,0.830693620382386,0.92750472326111,4500
46,-1.08380878427995,0.278449589593622,0.347247746024701,4600
47,-1.03657509961724,0.299933922935161,0.380592048150597,4700
48,-1.11210699877446,0.266092147894275,0.327170632662102,4800
49,-1.15181030297089,0.249399033192195,0.298874631471581,4900
50,-1.19301870149556,0.232862048903667,0.269347857311304,5000
51,-1.24541717277268,0.212978444085838,0.231567791053368,5100
52,-1.41436191493962,0.157255666382565,0.107876847662722,5200
53,-1.27415514488923,0.202608438272692,0.210733721950314,5300
54,-1.43952653602361,0.150001397132873,0.089186266490912,5400
