Window,segsites
399.5,0.064516129032258
499.5,0.057422969187675
599.5,0.056555269922879
699.5,0.056318681318681
799.5,0.048076923076923
899.5,0.043956043956044
999.5,0.039189189189189
1099.5,0.031081081081081
1199.5,0.027027027027027
1299.5,0.030598052851182
1399.5,0.031531531531532
1499.5,0.032467532467533
1599.5,0.032629558541267
1699.5,0.032818532818533
1799.5,0.032818532818533
1899.5,0.048262548262548
1999.5,0.054054054054054
2099.5,0.045871559633028
2199.5,0.043189368770764
2299.5,0.037037037037037
2399.5,0.036386449184442
2499.5,0.035
2599.5,0.03
2699.5,0.0175
2799.5,0.00875
2899.5,0.00875
2999.5,0.00625
3099.5,0.00625
3199.5,0.00375
3299.5,0.00875
3399.5,0.01125
3499.5,0.015
3599.5,0.015
3699.5,0.0175
3799.5,0.0225
3899.5,0.03125
3999.5,0.0375
4099.5,0.03875
4199.5,0.04625
4299.5,0.05125
4399.5,0.055
4499.5,0.055
4599.5,0.05375
4699.5,0.04625
4799.5,0.03875
4899.5,0.03125
4999.5,0.02375
5099.5,0.0225
5199.5,0.0275
5299.5,0.04
5399.5,0.05125
5499.5,0.06125
5599.5,0.07375
5699.5,0.09
5799.5,0.10125
5899.5,0.1125
5999.5,0.112944162436548
6099.5,0.097715736040609
6199.5,0.083756345177665
6299.5,0.072335025380711
6399.5,0.060913705583756
6499.5,0.046954314720812
6599.5,0.032994923857868
6699.5,0.019035532994924
6799.5,0.0125
6899.5,0.01375
6999.5,0.01125
7099.5,0.0125
7199.5,0.01125
7299.5,0.00875
7399.5,0.01
7499.5,0.00875
7599.5,0.01375
7699.5,0.01625
7799.5,0.0225
7899.5,0.02875
7999.5,0.03
8099.5,0.03375
8199.5,0.03375
8299.5,0.0325
8399.5,0.0325
8499.5,0.029411764705882
8599.5,0.033647375504711
8699.5,0.030955585464334
8799.5,0.039030955585464
8899.5,0.045760430686407
8999.5,0.060565275908479
9099.5,0.078061911170929
9199.5,0.090174966352625
9299.5,0.093298291721419
9399.5,0.081555834378921
9499.5,0.077791718946048
9599.5,0.06900878293601
9699.5,0.058971141781681
9799.5,0.04642409033877
9899.5,0.027603513174404
9999.5,0.010037641154329
10099.5,0.006273525721455
10199.5,0.010037641154329
10299.5,0.013801756587202
10399.5,0.025094102885822
10499.5,0.032622333751568
10599.5,0.036386449184442
10699.5,0.042659974905897
10799.5,0.050188205771644
10899.5,0.056461731493099
10999.5,0.055
11099.5,0.055
11199.5,0.05125
11299.5,0.04625
11399.5,0.04875
