Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0309	0.0064	0.2076
p23.H1	p11.H9	0.0414	0.0064	0.1548
p23.H1	p12.G7	0.0567	0.0077	0.1354
p26.A2	p11.H9	0.0414	0.0064	0.1548
p26.A2	p12.G7	0.0567	0.0077	0.1354
p26.E9	p11.H9	0.0183	0.0026	0.1395
p26.E9	p12.G7	0.0317	0.0064	0.2016
p26.E9	p23.H1	0.0302	0.0038	0.1263
p26.E9	p26.A2	0.0302	0.0038	0.1263
p26.F2	p11.H9	0.0414	0.0064	0.1548
p26.F2	p12.G7	0.0567	0.0077	0.1354
p26.F2	p26.E9	0.0302	0.0038	0.1263
p26.G7	p11.H9	0.0163	0.0013	0.0791
p26.G7	p12.G7	0.0310	0.0052	0.1661
p26.G7	p23.H1	0.0493	0.0077	0.1568
p26.G7	p26.A2	0.0493	0.0077	0.1568
p26.G7	p26.E9	0.0229	0.0038	0.1680
p26.G7	p26.F2	0.0493	0.0077	0.1568
p2.B9	p11.H9	0.0414	0.0064	0.1548
p2.B9	p12.G7	0.0567	0.0077	0.1354
p2.B9	p26.E9	0.0302	0.0038	0.1263
p2.B9	p26.G7	0.0493	0.0077	0.1568
p3.C1	p11.H9	0.0163	0.0013	0.0791
p3.C1	p12.G7	0.0310	0.0052	0.1661
p3.C1	p23.H1	0.0493	0.0077	0.1568
p3.C1	p26.A2	0.0493	0.0077	0.1568
p3.C1	p26.E9	0.0229	0.0038	0.1680
p3.C1	p26.F2	0.0493	0.0077	0.1568
p3.C1	p2.B9	0.0493	0.0077	0.1568
p3.C8	p11.H9	0.0414	0.0064	0.1548
p3.C8	p12.G7	0.0567	0.0077	0.1354
p3.C8	p26.E9	0.0302	0.0038	0.1263
p3.C8	p26.G7	0.0493	0.0077	0.1568
p3.C8	p3.C1	0.0493	0.0077	0.1568
p6.G8	p12.G7	0.0309	0.0064	0.2076
p6.G8	p23.H1	0.0414	0.0064	0.1548
p6.G8	p26.A2	0.0414	0.0064	0.1548
p6.G8	p26.E9	0.0183	0.0026	0.1395
p6.G8	p26.F2	0.0414	0.0064	0.1548
p6.G8	p26.G7	0.0163	0.0013	0.0791
p6.G8	p2.B9	0.0414	0.0064	0.1548
p6.G8	p3.C1	0.0163	0.0013	0.0791
p6.G8	p3.C8	0.0414	0.0064	0.1548
p7.B1	p11.H9	0.0318	0.0051	0.1606
p7.B1	p12.G7	0.0372	0.0065	0.1739
p7.B1	p23.H1	0.0341	0.0038	0.1119
p7.B1	p26.A2	0.0341	0.0038	0.1119
p7.B1	p26.E9	0.0258	0.0025	0.0984
p7.B1	p26.F2	0.0341	0.0038	0.1119
p7.B1	p26.G7	0.0357	0.0064	0.1795
p7.B1	p2.B9	0.0341	0.0038	0.1119
p7.B1	p3.C1	0.0357	0.0064	0.1795
p7.B1	p3.C8	0.0341	0.0038	0.1119
p7.B1	p6.G8	0.0318	0.0051	0.1606
p25.G7	p11.H9	0.0309	0.0051	0.1652
p25.G7	p12.G7	0.0455	0.0090	0.1966
p25.G7	p23.H1	0.0420	0.0064	0.1516
p25.G7	p26.A2	0.0420	0.0064	0.1516
p25.G7	p26.E9	0.0467	0.0026	0.0556
p25.G7	p26.F2	0.0420	0.0064	0.1516
p25.G7	p26.G7	0.0394	0.0064	0.1632
p25.G7	p2.B9	0.0420	0.0064	0.1516
p25.G7	p3.C1	0.0394	0.0064	0.1632
p25.G7	p3.C8	0.0420	0.0064	0.1516
p25.G7	p6.G8	0.0309	0.0051	0.1652
p25.G7	p7.B1	0.0413	0.0051	0.1229
p24.E1	p11.H9	0.0367	0.0051	0.1392
p24.E1	p12.G7	0.0446	0.0090	0.2011
p24.E1	p23.H1	0.0655	0.0064	0.0974
p24.E1	p26.A2	0.0655	0.0064	0.0974
p24.E1	p26.E9	0.0512	0.0026	0.0507
p24.E1	p26.F2	0.0655	0.0064	0.0974
p24.E1	p26.G7	0.0384	0.0064	0.1676
