Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0191	0.0098	0.5115
p23.H1	p11.H9	0.0563	0.0298	0.5293
p23.H1	p12.G7	0.2055	0.0196	0.0954
p26.A2	p11.H9	0.0660	0.0349	0.5296
p26.A2	p12.G7	0.2582	0.0246	0.0954
p26.E9	p11.H9	0.0211	0.0098	0.4669
p26.E9	p12.G7	0.0010	0.0001	0.0648
p26.E9	p23.H1	0.1668	0.0197	0.1183
p26.E9	p26.A2	0.2097	0.0248	0.1183
p26.F2	p11.H9	0.0660	0.0349	0.5296
p26.F2	p12.G7	0.2582	0.0246	0.0954
p26.F2	p26.E9	0.2097	0.0248	0.1183
p26.G7	p11.H9	0.0304	0.0147	0.4834
p26.G7	p12.G7	0.2144	0.0048	0.0226
p26.G7	p23.H1	0.3402	0.0245	0.0721
p26.G7	p26.A2	0.4105	0.0296	0.0721
p26.G7	p26.E9	0.1086	0.0049	0.0449
p26.G7	p26.F2	0.4105	0.0296	0.0721
p2.B9	p11.H9	0.0563	0.0298	0.5293
p2.B9	p12.G7	0.2055	0.0196	0.0954
p2.B9	p26.E9	0.1668	0.0197	0.1183
p2.B9	p26.G7	0.3402	0.0245	0.0721
p3.C1	p11.H9	0.0191	0.0098	0.5115
p3.C1	p23.H1	0.2055	0.0196	0.0954
p3.C1	p26.A2	0.2582	0.0246	0.0954
p3.C1	p26.E9	0.0010	0.0001	0.0664
p3.C1	p26.F2	0.2582	0.0246	0.0954
p3.C1	p26.G7	0.2144	0.0048	0.0226
p3.C1	p2.B9	0.2055	0.0196	0.0954
p3.C8	p11.H9	0.0211	0.0098	0.4669
p3.C8	p12.G7	0.0010	0.0001	0.0664
p3.C8	p23.H1	0.1668	0.0197	0.1183
p3.C8	p26.A2	0.2097	0.0248	0.1183
p3.C8	p26.F2	0.2097	0.0248	0.1183
p3.C8	p26.G7	0.1086	0.0049	0.0449
p3.C8	p2.B9	0.1668	0.0197	0.1183
p3.C8	p3.C1	0.0010	0.0001	0.0664
p6.G8	p12.G7	0.0191	0.0098	0.5115
p6.G8	p23.H1	0.0563	0.0298	0.5293
p6.G8	p26.A2	0.0660	0.0349	0.5296
p6.G8	p26.E9	0.0211	0.0098	0.4669
p6.G8	p26.F2	0.0660	0.0349	0.5296
p6.G8	p26.G7	0.0304	0.0147	0.4834
p6.G8	p2.B9	0.0563	0.0298	0.5293
p6.G8	p3.C1	0.0191	0.0098	0.5115
p6.G8	p3.C8	0.0211	0.0098	0.4669
p7.B1	p11.H9	0.0728	0.0350	0.4810
p7.B1	p12.G7	0.3624	0.0248	0.0684
p7.B1	p23.H1	0.0405	0.0049	0.1199
p7.B1	p26.A2	0.0814	0.0098	0.1199
p7.B1	p26.F2	0.0814	0.0098	0.1199
p7.B1	p26.G7	0.6525	0.0298	0.0457
p7.B1	p2.B9	0.0405	0.0049	0.1199
p7.B1	p3.C1	0.3624	0.0248	0.0684
p7.B1	p6.G8	0.0728	0.0350	0.4810
p25.G7	p11.H9	0.0191	0.0098	0.5115
p25.G7	p23.H1	0.2055	0.0196	0.0954
p25.G7	p26.A2	0.2582	0.0246	0.0954
p25.G7	p26.E9	0.0010	0.0001	0.0664
p25.G7	p26.F2	0.2582	0.0246	0.0954
p25.G7	p26.G7	0.2144	0.0048	0.0226
p25.G7	p2.B9	0.2055	0.0196	0.0954
p25.G7	p3.C8	0.0010	0.0001	0.0647
p25.G7	p6.G8	0.0191	0.0098	0.5115
p25.G7	p7.B1	0.3624	0.0248	0.0684
p24.E1	p11.H9	0.0778	0.0298	0.3828
p24.E1	p12.G7	0.0978	0.0196	0.2006
p24.E1	p23.H1	0.0010	0.0001	0.1459
p24.E1	p26.A2	0.0330	0.0048	0.1467
p24.E1	p26.E9	0.1654	0.0197	0.1190
p24.E1	p26.F2	0.0330	0.0048	0.1467
p24.E1	p26.G7	0.1388	0.0245	0.1768
