Gene_1	Gene_2	dnds	dN	dS
p4.G8	p7.B1	0.0489	0.0031	0.0634
p4.G8	p6.B2	0.0970	0.0062	0.0639
p4.G8	p24.H5	0.0489	0.0031	0.0634
p4.G8	p11.H6	0.0970	0.0062	0.0639
p7.F10	p7.B1	0.0748	0.0031	0.0415
p7.F10	p6.B2	0.1485	0.0062	0.0418
p7.F10	p24.H5	0.0748	0.0031	0.0415
p7.F10	p11.H6	0.1485	0.0062	0.0418
p7.F10	p4.G8	0.0010	0.0000	0.0210
p20.F12	p7.B1	0.0748	0.0031	0.0415
p20.F12	p6.B2	0.1485	0.0062	0.0418
p20.F12	p24.H5	0.0748	0.0031	0.0415
p20.F12	p11.H6	0.1485	0.0062	0.0418
p20.F12	p4.G8	0.0010	0.0000	0.0210
p4.F9	p7.B1	0.0748	0.0031	0.0415
p4.F9	p6.B2	0.1485	0.0062	0.0418
p4.F9	p24.H5	0.0748	0.0031	0.0415
p4.F9	p11.H6	0.1485	0.0062	0.0418
p4.F9	p4.G8	0.0010	0.0000	0.0210
p26.G4	p7.B1	0.9185	0.0094	0.0102
p26.G4	p6.B2	0.6042	0.0062	0.0103
p26.G4	p24.H5	0.9185	0.0094	0.0102
p26.G4	p11.H6	0.6042	0.0062	0.0103
p26.G4	p4.G8	0.1652	0.0125	0.0754
p26.G4	p7.F10	0.2362	0.0125	0.0528
p26.G4	p20.F12	0.2362	0.0125	0.0528
p26.G4	p4.F9	0.2362	0.0125	0.0528
p2.H5	p7.B1	0.0748	0.0031	0.0415
p2.H5	p6.B2	0.1485	0.0062	0.0418
p2.H5	p24.H5	0.0748	0.0031	0.0415
p2.H5	p11.H6	0.1485	0.0062	0.0418
p2.H5	p4.G8	0.0010	0.0000	0.0210
p2.H5	p26.G4	0.2362	0.0125	0.0528
p8.A7	p7.B1	0.1805	0.0094	0.0519
p8.A7	p6.B2	0.1190	0.0062	0.0522
p8.A7	p24.H5	0.1805	0.0094	0.0519
p8.A7	p11.H6	0.1190	0.0062	0.0522
p8.A7	p4.G8	0.2346	0.0125	0.0531
p8.A7	p7.F10	0.3999	0.0125	0.0312
p8.A7	p20.F12	0.3999	0.0125	0.0312
p8.A7	p4.F9	0.3999	0.0125	0.0312
p8.A7	p26.G4	0.0982	0.0062	0.0634
p8.A7	p2.H5	0.3999	0.0125	0.0312
p27.D6	p7.B1	0.2612	0.0253	0.0968
p27.D6	p6.B2	0.2259	0.0220	0.0974
p27.D6	p24.H5	0.2612	0.0253	0.0968
p27.D6	p11.H6	0.2259	0.0220	0.0974
p27.D6	p4.G8	0.2869	0.0219	0.0763
p27.D6	p7.F10	0.4106	0.0219	0.0535
p27.D6	p20.F12	0.4106	0.0219	0.0535
p27.D6	p4.F9	0.4106	0.0219	0.0535
p27.D6	p26.G4	0.2012	0.0220	0.1094
p27.D6	p2.H5	0.4106	0.0219	0.0535
p27.D6	p8.A7	0.3443	0.0220	0.0639
p6.B8	p4.G8	0.0489	0.0031	0.0634
p6.B8	p7.F10	0.0748	0.0031	0.0415
p6.B8	p20.F12	0.0748	0.0031	0.0415
p6.B8	p4.F9	0.0748	0.0031	0.0415
p6.B8	p26.G4	0.9185	0.0094	0.0102
p6.B8	p2.H5	0.0748	0.0031	0.0415
p6.B8	p8.A7	0.1805	0.0094	0.0519
p6.B8	p27.D6	0.2612	0.0253	0.0968
p11.G10	p4.G8	0.0970	0.0062	0.0639
p11.G10	p7.F10	0.1485	0.0062	0.0418
p11.G10	p20.F12	0.1485	0.0062	0.0418
p11.G10	p4.F9	0.1485	0.0062	0.0418
p11.G10	p26.G4	0.6042	0.0062	0.0103
p11.G10	p2.H5	0.1485	0.0062	0.0418
p11.G10	p8.A7	0.1190	0.0062	0.0522
p11.G10	p27.D6	0.2259	0.0220	0.0974
p23.A9	p7.B1	0.0598	0.0031	0.0519
p23.A9	p6.B2	0.1187	0.0062	0.0524
p23.A9	p24.H5	0.0598	0.0031	0.0519
p23.A9	p11.H6	0.1187	0.0062	0.0524
p23.A9	p4.G8	0.0010	0.0000	0.0315
p23.A9	p4.F9	0.0010	0.0000	0.0103
p23.A9	p26.G4	0.1967	0.0125	0.0635
p23.A9	p2.H5	0.0010	0.0000	0.0103
p23.A9	p8.A7	0.2995	0.0125	0.0417
p23.A9	p27.D6	0.3419	0.0220	0.0642
p23.A9	p6.B8	0.0598	0.0031	0.0519
p23.A9	p11.G10	0.1187	0.0062	0.0524
p12.C9	p7.B1	0.9185	0.0094	0.0102
p12.C9	p6.B2	0.6042	0.0062	0.0103
p12.C9	p24.H5	0.9185	0.0094	0.0102
p12.C9	p11.H6	0.6042	0.0062	0.0103
p12.C9	p4.G8	0.1652	0.0125	0.0754
p12.C9	p7.F10	0.2362	0.0125	0.0528
p12.C9	p20.F12	0.2362	0.0125	0.0528
p12.C9	p4.F9	0.2362	0.0125	0.0528
p12.C9	p2.H5	0.2362	0.0125	0.0528
p12.C9	p8.A7	0.0982	0.0062	0.0634
p12.C9	p27.D6	0.2012	0.0220	0.1094
p12.C9	p6.B8	0.9185	0.0094	0.0102
p12.C9	p11.G10	0.6042	0.0062	0.0103
p12.C9	p23.A9	0.1967	0.0125	0.0635
p25.C11	p7.B1	0.0748	0.0031	0.0415
p25.C11	p6.B2	0.1485	0.0062	0.0418
p25.C11	p24.H5	0.0748	0.0031	0.0415
p25.C11	p11.H6	0.1485	0.0062	0.0418
p25.C11	p4.G8	0.0010	0.0000	0.0203
p25.C11	p26.G4	0.2362	0.0125	0.0528
p25.C11	p8.A7	0.3999	0.0125	0.0312
p25.C11	p27.D6	0.4106	0.0219	0.0535
p25.C11	p6.B8	0.0748	0.0031	0.0415
p25.C11	p11.G10	0.1485	0.0062	0.0418
p25.C11	p23.A9	0.0010	0.0000	0.0103
p25.C11	p12.C9	0.2362	0.0125	0.0528
p4.E5	p7.B1	0.9185	0.0094	0.0102
p4.E5	p6.B2	0.6042	0.0062	0.0103
p4.E5	p24.H5	0.9185	0.0094	0.0102
p4.E5	p11.H6	0.6042	0.0062	0.0103
p4.E5	p4.G8	0.1652	0.0125	0.0754
p4.E5	p7.F10	0.2362	0.0125	0.0528
p4.E5	p20.F12	0.2362	0.0125	0.0528
p4.E5	p4.F9	0.2362	0.0125	0.0528
p4.E5	p2.H5	0.2362	0.0125	0.0528
p4.E5	p8.A7	0.0982	0.0062	0.0634
p4.E5	p27.D6	0.2012	0.0220	0.1094
p4.E5	p6.B8	0.9185	0.0094	0.0102
p4.E5	p11.G10	0.6042	0.0062	0.0103
p4.E5	p23.A9	0.1967	0.0125	0.0635
p4.E5	p25.C11	0.2362	0.0125	0.0528
