Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0360	0.0062	0.1724
p23.H1	p11.H9	0.0386	0.0062	0.1611
p23.H1	p12.G7	0.0010	0.0001	0.0812
p26.A2	p11.H9	0.0386	0.0062	0.1611
p26.A2	p12.G7	0.0010	0.0001	0.0812
p26.E9	p11.H9	0.0417	0.0062	0.1493
p26.E9	p12.G7	0.0010	0.0001	0.1289
p26.E9	p23.H1	0.0010	0.0001	0.0799
p26.E9	p26.A2	0.0010	0.0001	0.0799
p26.F2	p11.H9	0.0386	0.0062	0.1611
p26.F2	p12.G7	0.0010	0.0001	0.0812
p26.F2	p26.E9	0.0010	0.0001	0.0799
p26.G7	p11.H9	0.0347	0.0064	0.1855
p26.G7	p12.G7	0.0280	0.0021	0.0734
p26.G7	p23.H1	0.0184	0.0021	0.1121
p26.G7	p26.A2	0.0184	0.0021	0.1121
p26.G7	p26.E9	0.0127	0.0021	0.1623
p26.G7	p26.F2	0.0184	0.0021	0.1121
p2.B9	p11.H9	0.0386	0.0062	0.1611
p2.B9	p12.G7	0.0010	0.0001	0.0812
p2.B9	p26.E9	0.0010	0.0001	0.0799
p2.B9	p26.G7	0.0184	0.0021	0.1121
p3.C1	p11.H9	0.0321	0.0062	0.1930
p3.C1	p12.G7	0.0010	0.0001	0.1403
p3.C1	p23.H1	0.0010	0.0001	0.1191
p3.C1	p26.A2	0.0010	0.0001	0.1191
p3.C1	p26.E9	0.0010	0.0001	0.0999
p3.C1	p26.F2	0.0010	0.0001	0.1191
p3.C1	p26.G7	0.0144	0.0021	0.1429
p3.C1	p2.B9	0.0010	0.0001	0.1191
p3.C8	p11.H9	0.0389	0.0062	0.1600
p3.C8	p12.G7	0.0010	0.0001	0.1393
p3.C8	p23.H1	0.0010	0.0001	0.0898
p3.C8	p26.A2	0.0010	0.0001	0.0895
p3.C8	p26.F2	0.0010	0.0001	0.0895
p3.C8	p26.G7	0.0119	0.0021	0.1734
p3.C8	p2.B9	0.0010	0.0001	0.0895
p3.C8	p3.C1	0.0010	0.0001	0.1093
p6.G8	p11.H9	0.2360	0.0062	0.0263
p6.G8	p12.G7	0.0010	0.0002	0.1594
p6.G8	p23.H1	0.0010	0.0001	0.1484
p6.G8	p26.A2	0.0010	0.0001	0.1485
p6.G8	p26.E9	0.0010	0.0001	0.1179
p6.G8	p26.F2	0.0010	0.0001	0.1485
p6.G8	p26.G7	0.0126	0.0021	0.1632
p6.G8	p2.B9	0.0010	0.0001	0.1485
p6.G8	p3.C1	0.0010	0.0002	0.1593
p6.G8	p3.C8	0.0010	0.0001	0.1280
p7.B1	p11.H9	0.0316	0.0062	0.1961
p7.B1	p12.G7	0.0010	0.0000	0.0177
p7.B1	p23.H1	0.0010	0.0001	0.0818
p7.B1	p26.A2	0.0010	0.0001	0.0818
p7.B1	p26.E9	0.0010	0.0001	0.1299
p7.B1	p26.F2	0.0010	0.0001	0.0818
p7.B1	p26.G7	0.0218	0.0020	0.0938
p7.B1	p2.B9	0.0010	0.0001	0.0818
p7.B1	p3.C1	0.0010	0.0001	0.1216
p7.B1	p3.C8	0.0010	0.0001	0.1403
p7.B1	p6.G8	0.0010	0.0002	0.1823
p25.G7	p11.H9	0.0360	0.0062	0.1724
p25.G7	p23.H1	0.0010	0.0001	0.0812
p25.G7	p26.A2	0.0010	0.0001	0.0812
p25.G7	p26.E9	0.0010	0.0001	0.1289
