Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0758	0.0066	0.0869
p23.H1	p11.H9	0.0657	0.0075	0.1148
p23.H1	p12.G7	0.1227	0.0104	0.0844
p26.A2	p11.H9	0.0657	0.0075	0.1148
p26.A2	p12.G7	0.1227	0.0104	0.0844
p26.E9	p11.H9	0.1299	0.0095	0.0729
p26.E9	p12.G7	0.1351	0.0104	0.0768
p26.E9	p23.H1	0.2156	0.0094	0.0438
p26.E9	p26.A2	0.2156	0.0094	0.0438
p26.F2	p11.H9	0.0657	0.0075	0.1148
p26.F2	p12.G7	0.1227	0.0104	0.0844
p26.F2	p26.E9	0.2156	0.0094	0.0438
p26.G7	p11.H9	0.0624	0.0056	0.0905
p26.G7	p12.G7	0.1221	0.0066	0.0539
p26.G7	p23.H1	0.0980	0.0113	0.1154
p26.G7	p26.A2	0.0980	0.0113	0.1154
p26.G7	p26.E9	0.1325	0.0133	0.1001
p26.G7	p26.F2	0.0980	0.0113	0.1154
p2.B9	p11.H9	0.0657	0.0075	0.1148
p2.B9	p12.G7	0.1227	0.0104	0.0844
p2.B9	p26.E9	0.2156	0.0094	0.0438
p2.B9	p26.G7	0.0980	0.0113	0.1154
p3.C1	p11.H9	0.0624	0.0056	0.0905
p3.C1	p12.G7	0.1221	0.0066	0.0539
p3.C1	p23.H1	0.0980	0.0113	0.1154
p3.C1	p26.A2	0.0980	0.0113	0.1154
p3.C1	p26.E9	0.1325	0.0133	0.1001
p3.C1	p26.F2	0.0980	0.0113	0.1154
p3.C1	p2.B9	0.0980	0.0113	0.1154
p3.C8	p11.H9	0.0657	0.0075	0.1148
p3.C8	p12.G7	0.1227	0.0104	0.0844
p3.C8	p26.E9	0.2156	0.0094	0.0438
p3.C8	p26.G7	0.0980	0.0113	0.1154
p3.C8	p3.C1	0.0980	0.0113	0.1154
p6.G8	p12.G7	0.0758	0.0066	0.0869
p6.G8	p23.H1	0.0657	0.0075	0.1148
p6.G8	p26.A2	0.0657	0.0075	0.1148
p6.G8	p26.E9	0.1299	0.0095	0.0729
p6.G8	p26.F2	0.0657	0.0075	0.1148
p6.G8	p26.G7	0.0624	0.0056	0.0905
