Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0160	0.0017	0.1085
p23.H1	p11.H9	0.0304	0.0044	0.1434
p23.H1	p12.G7	0.0277	0.0026	0.0942
p26.A2	p11.H9	0.0297	0.0044	0.1468
p26.A2	p12.G7	0.0268	0.0026	0.0975
p26.E9	p11.H9	0.0159	0.0017	0.1092
p26.E9	p12.G7	0.0010	0.0001	0.0639
p26.E9	p23.H1	0.0257	0.0026	0.1014
p26.E9	p26.A2	0.0249	0.0026	0.1047
p26.F2	p11.H9	0.0297	0.0044	0.1468
p26.F2	p12.G7	0.0268	0.0026	0.0975
p26.F2	p26.E9	0.0249	0.0026	0.1047
p26.G7	p11.H9	0.0271	0.0026	0.0959
p26.G7	p12.G7	0.0071	0.0009	0.1210
p26.G7	p23.H1	0.0242	0.0035	0.1432
p26.G7	p26.A2	0.0237	0.0035	0.1466
p26.G7	p26.E9	0.0093	0.0009	0.0930
p26.G7	p26.F2	0.0237	0.0035	0.1466
p2.B9	p11.H9	0.0304	0.0044	0.1434
p2.B9	p12.G7	0.0277	0.0026	0.0942
p2.B9	p26.E9	0.0257	0.0026	0.1014
p2.B9	p26.G7	0.0242	0.0035	0.1432
p3.C1	p11.H9	0.0180	0.0017	0.0960
p3.C1	p12.G7	0.0010	0.0001	0.1205
p3.C1	p23.H1	0.0177	0.0026	0.1468
p3.C1	p26.A2	0.0173	0.0026	0.1503
p3.C1	p26.E9	0.0010	0.0001	0.0927
p3.C1	p26.F2	0.0173	0.0026	0.1503
p3.C1	p2.B9	0.0177	0.0026	0.1468
p3.C8	p11.H9	0.0304	0.0044	0.1434
p3.C8	p12.G7	0.0277	0.0026	0.0942
p3.C8	p26.E9	0.0257	0.0026	0.1014
p3.C8	p26.G7	0.0242	0.0035	0.1432
p3.C8	p3.C1	0.0177	0.0026	0.1468
p6.G8	p11.H9	0.0211	0.0009	0.0411
p6.G8	p12.G7	0.0082	0.0009	0.1060
p6.G8	p23.H1	0.0274	0.0035	0.1267
p6.G8	p26.A2	0.0268	0.0035	0.1300
p6.G8	p26.E9	0.0101	0.0009	0.0855
p6.G8	p26.F2	0.0268	0.0035	0.1300
p6.G8	p26.G7	0.0264	0.0017	0.0655
