Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0444	0.0044	0.0998
p23.H1	p11.H9	0.0980	0.0089	0.0907
p23.H1	p12.G7	0.0617	0.0089	0.1440
p26.A2	p11.H9	0.0980	0.0089	0.0907
p26.A2	p12.G7	0.0617	0.0089	0.1440
p26.E9	p11.H9	0.0804	0.0066	0.0826
p26.E9	p12.G7	0.0563	0.0066	0.1178
p26.E9	p23.H1	0.0554	0.0022	0.0398
p26.E9	p26.A2	0.0554	0.0022	0.0398
p26.F2	p11.H9	0.0980	0.0089	0.0907
p26.F2	p12.G7	0.0617	0.0089	0.1440
p26.F2	p26.E9	0.0554	0.0022	0.0398
p26.G7	p11.H9	0.1183	0.0067	0.0563
p26.G7	p12.G7	0.0734	0.0066	0.0906
p26.G7	p23.H1	0.0190	0.0022	0.1162
p26.G7	p26.A2	0.0190	0.0022	0.1162
p26.G7	p26.E9	0.0010	0.0001	0.1076
p26.G7	p26.F2	0.0190	0.0022	0.1162
p2.B9	p11.H9	0.0980	0.0089	0.0907
p2.B9	p12.G7	0.0617	0.0089	0.1440
p2.B9	p26.E9	0.0554	0.0022	0.0398
p2.B9	p26.G7	0.0190	0.0022	0.1162
p3.C1	p11.H9	0.1183	0.0067	0.0563
p3.C1	p12.G7	0.0734	0.0066	0.0906
p3.C1	p23.H1	0.0190	0.0022	0.1162
p3.C1	p26.A2	0.0190	0.0022	0.1162
p3.C1	p26.E9	0.0010	0.0001	0.1076
p3.C1	p26.F2	0.0190	0.0022	0.1162
p3.C1	p2.B9	0.0190	0.0022	0.1162
p3.C8	p11.H9	0.1354	0.0089	0.0656
p3.C8	p12.G7	0.0753	0.0089	0.1177
p3.C8	p23.H1	0.0010	0.0000	0.0228
p3.C8	p26.A2	0.0010	0.0000	0.0236
p3.C8	p26.E9	0.0691	0.0022	0.0319
p3.C8	p26.F2	0.0010	0.0000	0.0229
p3.C8	p26.G7	0.0204	0.0022	0.1080
p3.C8	p2.B9	0.0010	0.0000	0.0236
p3.C8	p3.C1	0.0204	0.0022	0.1080
p6.G8	p11.H9	0.1335	0.0111	0.0831
p6.G8	p12.G7	0.1335	0.0111	0.0829
p6.G8	p23.H1	0.0390	0.0022	0.0565
p6.G8	p26.A2	0.0390	0.0022	0.0565
p6.G8	p26.E9	0.0676	0.0044	0.0651
p6.G8	p26.F2	0.0390	0.0022	0.0565
p6.G8	p26.G7	0.0598	0.0044	0.0737
p6.G8	p2.B9	0.0390	0.0022	0.0565
p6.G8	p3.C1	0.0598	0.0044	0.0737
p6.G8	p3.C8	0.0685	0.0022	0.0321
p7.B1	p11.H9	0.1614	0.0134	0.0828
p7.B1	p12.G7	0.0981	0.0133	0.1360
p7.B1	p26.E9	0.2073	0.0066	0.0320
p7.B1	p26.G7	0.0613	0.0066	0.1083
p7.B1	p3.C1	0.0613	0.0066	0.1083
p7.B1	p3.C8	0.2782	0.0044	0.0159
p7.B1	p6.G8	0.1363	0.0066	0.0486
p25.G7	p11.H9	0.0912	0.0044	0.0485
p25.G7	p12.G7	0.0911	0.0044	0.0485
p25.G7	p23.H1	0.0700	0.0089	0.1268
p25.G7	p26.A2	0.0700	0.0089	0.1268
p25.G7	p26.E9	0.0658	0.0066	0.1008
p25.G7	p26.F2	0.0700	0.0089	0.1268
p25.G7	p26.G7	0.0734	0.0066	0.0906
p25.G7	p2.B9	0.0700	0.0089	0.1268
p25.G7	p3.C1	0.0734	0.0066	0.0906
p25.G7	p3.C8	0.0879	0.0089	0.1007
p25.G7	p6.G8	0.0928	0.0111	0.1193
p25.G7	p7.B1	0.1123	0.0133	0.1187
p24.E1	p11.H9	0.0912	0.0044	0.0485
p24.E1	p12.G7	0.0911	0.0044	0.0485
p24.E1	p23.H1	0.0700	0.0089	0.1268
p24.E1	p26.A2	0.0700	0.0089	0.1268
p24.E1	p26.E9	0.0658	0.0066	0.1008
p24.E1	p26.F2	0.0700	0.0089	0.1268
