Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0261	0.0035	0.1344
p23.H1	p11.H9	0.0358	0.0047	0.1306
p23.H1	p12.G7	0.0367	0.0035	0.0953
p26.A2	p11.H9	0.0358	0.0047	0.1306
p26.A2	p12.G7	0.0367	0.0035	0.0953
p26.E9	p11.H9	0.0314	0.0046	0.1477
p26.E9	p12.G7	0.0099	0.0012	0.1168
p26.E9	p23.H1	0.0380	0.0046	0.1224
p26.E9	p26.A2	0.0380	0.0046	0.1224
p26.F2	p11.H9	0.0358	0.0047	0.1306
p26.F2	p12.G7	0.0367	0.0035	0.0953
p26.F2	p26.E9	0.0380	0.0046	0.1224
p26.G7	p11.H9	0.0298	0.0035	0.1167
p26.G7	p12.G7	0.0010	0.0001	0.0865
p26.G7	p23.H1	0.0284	0.0035	0.1228
p26.G7	p26.A2	0.0284	0.0035	0.1228
p26.G7	p26.E9	0.0136	0.0012	0.0844
p26.G7	p26.F2	0.0284	0.0035	0.1228
p2.B9	p11.H9	0.0358	0.0047	0.1306
p2.B9	p12.G7	0.0367	0.0035	0.0953
p2.B9	p26.E9	0.0380	0.0046	0.1224
p2.B9	p26.G7	0.0284	0.0035	0.1228
p3.C1	p11.H9	0.0298	0.0035	0.1167
p3.C1	p12.G7	0.0010	0.0001	0.0865
p3.C1	p23.H1	0.0284	0.0035	0.1228
p3.C1	p26.A2	0.0284	0.0035	0.1228
p3.C1	p26.E9	0.0136	0.0012	0.0844
p3.C1	p26.F2	0.0284	0.0035	0.1228
p3.C1	p2.B9	0.0284	0.0035	0.1228
p3.C8	p11.H9	0.0358	0.0047	0.1306
p3.C8	p12.G7	0.0367	0.0035	0.0953
p3.C8	p26.E9	0.0380	0.0046	0.1224
p3.C8	p26.G7	0.0284	0.0035	0.1228
p3.C8	p3.C1	0.0284	0.0035	0.1228
p6.G8	p11.H9	0.0010	0.0000	0.0308
p6.G8	p12.G7	0.0230	0.0035	0.1520
p6.G8	p23.H1	0.0339	0.0047	0.1374
p6.G8	p26.A2	0.0339	0.0047	0.1374
p6.G8	p26.E9	0.0320	0.0046	0.1447
p6.G8	p26.F2	0.0339	0.0047	0.1374
p6.G8	p26.G7	0.0259	0.0035	0.1341
p6.G8	p2.B9	0.0339	0.0047	0.1374
p6.G8	p3.C1	0.0259	0.0035	0.1341
p6.G8	p3.C8	0.0339	0.0047	0.1374
p7.B1	p11.H9	0.0246	0.0035	0.1415
p7.B1	p12.G7	0.0010	0.0001	0.0958
p7.B1	p23.H1	0.0286	0.0035	0.1218
p7.B1	p26.A2	0.0286	0.0035	0.1218
p7.B1	p26.E9	0.0155	0.0012	0.0742
p7.B1	p26.F2	0.0286	0.0035	0.1218
p7.B1	p26.G7	0.0010	0.0001	0.0736
p7.B1	p2.B9	0.0286	0.0035	0.1218
p7.B1	p3.C1	0.0010	0.0001	0.0736
p7.B1	p3.C8	0.0286	0.0035	0.1218
p7.B1	p6.G8	0.0234	0.0035	0.1486
p25.G7	p11.H9	0.0444	0.0058	0.1312
p25.G7	p12.G7	0.0269	0.0023	0.0864
p25.G7	p23.H1	0.0522	0.0058	0.1117
p25.G7	p26.A2	0.0522	0.0058	0.1117
p25.G7	p26.E9	0.0630	0.0035	0.0550
p25.G7	p26.F2	0.0522	0.0058	0.1117
p25.G7	p26.G7	0.0360	0.0023	0.0643
p25.G7	p2.B9	0.0522	0.0058	0.1117
p25.G7	p3.C1	0.0360	0.0023	0.0643
p25.G7	p3.C8	0.0522	0.0058	0.1117
p25.G7	p6.G8	0.0421	0.0058	0.1381
p25.G7	p7.B1	0.0860	0.0023	0.0269
p24.E1	p11.H9	0.0355	0.0047	0.1312
p24.E1	p12.G7	0.0134	0.0012	0.0864
p24.E1	p23.H1	0.0417	0.0047	0.1117
p24.E1	p26.A2	0.0417	0.0047	0.1117
p24.E1	p26.E9	0.0419	0.0023	0.0550
p24.E1	p26.F2	0.0417	0.0047	0.1117
p24.E1	p26.G7	0.0179	0.0012	0.0643
p24.E1	p2.B9	0.0417	0.0047	0.1117
p24.E1	p3.C1	0.0179	0.0012	0.0643
p24.E1	p3.C8	0.0417	0.0047	0.1117
p24.E1	p6.G8	0.0336	0.0046	0.1381
