Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.1700	0.1320	0.7763
p23.H1	p11.H9	0.1559	0.1322	0.8480
p23.H1	p12.G7	0.0990	0.0056	0.0570
p26.A2	p11.H9	0.1635	0.1356	0.8296
p26.A2	p12.G7	0.1484	0.0085	0.0571
p26.E9	p11.H9	0.1657	0.1389	0.8382
p26.E9	p12.G7	0.1354	0.0113	0.0835
p26.E9	p23.H1	0.1386	0.0056	0.0406
p26.E9	p26.A2	0.2601	0.0084	0.0325
p26.F2	p11.H9	0.1635	0.1356	0.8296
p26.F2	p12.G7	0.1484	0.0085	0.0571
p26.F2	p26.E9	0.2601	0.0084	0.0325
p26.G7	p11.H9	0.1771	0.1322	0.7465
p26.G7	p23.H1	0.1165	0.0056	0.0485
p26.G7	p26.A2	0.1746	0.0085	0.0486
p26.G7	p26.E9	0.1518	0.0113	0.0746
p26.G7	p26.F2	0.1746	0.0085	0.0486
p2.B9	p11.H9	0.1559	0.1322	0.8480
p2.B9	p12.G7	0.0990	0.0056	0.0570
p2.B9	p26.E9	0.1386	0.0056	0.0406
p2.B9	p26.G7	0.1165	0.0056	0.0485
p3.C1	p11.H9	0.1771	0.1322	0.7465
p3.C1	p23.H1	0.1165	0.0056	0.0485
p3.C1	p26.A2	0.1746	0.0085	0.0486
p3.C1	p26.E9	0.1518	0.0113	0.0746
p3.C1	p26.F2	0.1746	0.0085	0.0486
p3.C1	p2.B9	0.1165	0.0056	0.0485
p3.C8	p11.H9	0.1559	0.1322	0.8480
p3.C8	p12.G7	0.0990	0.0056	0.0570
p3.C8	p26.E9	0.1386	0.0056	0.0406
p3.C8	p26.G7	0.1165	0.0056	0.0485
p3.C8	p3.C1	0.1165	0.0056	0.0485
p6.G8	p12.G7	0.1737	0.1356	0.7806
p6.G8	p23.H1	0.1644	0.1358	0.8265
p6.G8	p26.A2	0.1723	0.1393	0.8084
p6.G8	p26.E9	0.1746	0.1426	0.8165
p6.G8	p26.F2	0.1723	0.1393	0.8084
p6.G8	p26.G7	0.1810	0.1358	0.7504
p6.G8	p2.B9	0.1644	0.1358	0.8265
p6.G8	p3.C1	0.1810	0.1358	0.7504
p6.G8	p3.C8	0.1644	0.1358	0.8265
p7.B1	p11.H9	0.1388	0.1940	1.3976
p7.B1	p12.G7	0.1377	0.1566	1.1373
p7.B1	p23.H1	0.1464	0.1530	1.0452
p7.B1	p26.A2	0.1457	0.1552	1.0647
p7.B1	p26.E9	0.1338	0.1523	1.1380
p7.B1	p26.F2	0.1457	0.1552	1.0647
p7.B1	p26.G7	0.1440	0.1568	1.0889
p7.B1	p2.B9	0.1464	0.1530	1.0452
p7.B1	p3.C1	0.1440	0.1568	1.0889
p7.B1	p3.C8	0.1464	0.1530	1.0452
p7.B1	p6.G8	0.1462	0.1980	1.3545
p25.G7	p11.H9	0.1705	0.1355	0.7947
p25.G7	p12.G7	0.1176	0.0028	0.0239
p25.G7	p23.H1	0.1739	0.0085	0.0488
p25.G7	p26.A2	0.2317	0.0113	0.0489
p25.G7	p26.E9	0.1128	0.0085	0.0750
p25.G7	p26.F2	0.2317	0.0113	0.0489
p25.G7	p26.G7	0.1779	0.0028	0.0158
p25.G7	p2.B9	0.1739	0.0085	0.0488
p25.G7	p3.C1	0.1779	0.0028	0.0158
p25.G7	p3.C8	0.1739	0.0085	0.0488
p25.G7	p6.G8	0.1797	0.1392	0.7745
p25.G7	p7.B1	0.1402	0.1529	1.0905
p24.E1	p11.H9	0.1701	0.1354	0.7957
p24.E1	p12.G7	0.0881	0.0028	0.0320
p24.E1	p23.H1	0.1487	0.0085	0.0571
p24.E1	p26.A2	0.1980	0.0113	0.0573
p24.E1	p26.E9	0.1012	0.0085	0.0837
p24.E1	p26.F2	0.1980	0.0113	0.0573
p24.E1	p26.G7	0.1184	0.0028	0.0238
p24.E1	p2.B9	0.1487	0.0085	0.0571
p24.E1	p3.C1	0.1184	0.0028	0.0238
p24.E1	p3.C8	0.1487	0.0085	0.0571
p24.E1	p6.G8	0.1793	0.1390	0.7754
p24.E1	p7.B1	0.1356	0.1530	1.1277
p5.F9	p11.H9	0.1559	0.1322	0.8480
p5.F9	p12.G7	0.0990	0.0056	0.0570
p5.F9	p26.E9	0.1386	0.0056	0.0406
p5.F9	p26.G7	0.1165	0.0056	0.0485
p5.F9	p3.C1	0.1165	0.0056	0.0485
p5.F9	p6.G8	0.1644	0.1358	0.8265
p5.F9	p7.B1	0.1464	0.1530	1.0452
p5.F9	p25.G7	0.1739	0.0085	0.0488
p5.F9	p24.E1	0.1487	0.0085	0.0571
p1.A9	p11.H9	0.1646	0.1357	0.8243
p1.A9	p12.G7	0.1738	0.0085	0.0487
p1.A9	p26.E9	0.0573	0.0028	0.0489
p1.A9	p26.G7	0.2104	0.0085	0.0403
p1.A9	p3.C1	0.2104	0.0085	0.0403
p1.A9	p6.G8	0.1680	0.1393	0.8293
p1.A9	p7.B1	0.1374	0.1493	1.0861
p1.A9	p25.G7	0.0986	0.0056	0.0572
p1.A9	p24.E1	0.0860	0.0056	0.0656
p3.F1	p11.H9	0.1700	0.1320	0.7763
p3.F1	p23.H1	0.0990	0.0056	0.0570
p3.F1	p26.A2	0.1484	0.0085	0.0571
p3.F1	p26.E9	0.1354	0.0113	0.0835
p3.F1	p26.F2	0.1484	0.0085	0.0571
p3.F1	p2.B9	0.0990	0.0056	0.0570
p3.F1	p3.C8	0.0990	0.0056	0.0570
p3.F1	p6.G8	0.1737	0.1356	0.7806
p3.F1	p7.B1	0.1377	0.1566	1.1373
p3.F1	p25.G7	0.1176	0.0028	0.0239
p3.F1	p24.E1	0.0881	0.0028	0.0320
p3.F1	p5.F9	0.0990	0.0056	0.0570
p3.F1	p1.A9	0.1738	0.0085	0.0487
p6.B2	p11.H9	0.1388	0.1940	1.3976
p6.B2	p12.G7	0.1377	0.1566	1.1373
p6.B2	p23.H1	0.1464	0.1530	1.0452
p6.B2	p26.A2	0.1457	0.1552	1.0647
p6.B2	p26.E9	0.1338	0.1523	1.1380
p6.B2	p26.F2	0.1457	0.1552	1.0647
p6.B2	p26.G7	0.1440	0.1568	1.0889
p6.B2	p2.B9	0.1464	0.1530	1.0452
p6.B2	p3.C1	0.1440	0.1568	1.0889
p6.B2	p3.C8	0.1464	0.1530	1.0452
p6.B2	p6.G8	0.1462	0.1980	1.3545
p6.B2	p25.G7	0.1402	0.1529	1.0905
p6.B2	p24.E1	0.1356	0.1530	1.1277
p6.B2	p5.F9	0.1464	0.1530	1.0452
p6.B2	p1.A9	0.1374	0.1493	1.0861
p6.B2	p3.F1	0.1377	0.1566	1.1373
p24.H5	p11.H9	0.1388	0.1940	1.3976
p24.H5	p12.G7	0.1377	0.1566	1.1373
p24.H5	p23.H1	0.1464	0.1530	1.0452
p24.H5	p26.A2	0.1457	0.1552	1.0647
p24.H5	p26.E9	0.1338	0.1523	1.1380
p24.H5	p26.F2	0.1457	0.1552	1.0647
p24.H5	p26.G7	0.1440	0.1568	1.0889
p24.H5	p2.B9	0.1464	0.1530	1.0452
p24.H5	p3.C1	0.1440	0.1568	1.0889
p24.H5	p3.C8	0.1464	0.1530	1.0452
p24.H5	p6.G8	0.1462	0.1980	1.3545
