Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0661	0.0067	0.1009
p23.H1	p11.H9	0.0791	0.0067	0.0844
p23.H1	p12.G7	0.0824	0.0089	0.1084
p26.A2	p11.H9	0.0791	0.0067	0.0844
p26.A2	p12.G7	0.0824	0.0089	0.1084
p26.E9	p11.H9	0.0272	0.0044	0.1627
p26.E9	p12.G7	0.0433	0.0067	0.1538
p26.E9	p23.H1	0.0352	0.0067	0.1893
p26.E9	p26.A2	0.0352	0.0067	0.1893
p26.F2	p11.H9	0.0791	0.0067	0.0844
p26.F2	p12.G7	0.0824	0.0089	0.1084
p26.F2	p26.E9	0.0352	0.0067	0.1893
p26.G7	p11.H9	0.0241	0.0022	0.0921
p26.G7	p12.G7	0.0445	0.0045	0.1000
p26.G7	p23.H1	0.0448	0.0045	0.0995
p26.G7	p26.A2	0.0448	0.0045	0.0995
p26.G7	p26.E9	0.0154	0.0022	0.1433
p26.G7	p26.F2	0.0448	0.0045	0.0995
p2.B9	p11.H9	0.0791	0.0067	0.0844
p2.B9	p12.G7	0.0824	0.0089	0.1084
p2.B9	p26.E9	0.0352	0.0067	0.1893
p2.B9	p26.G7	0.0448	0.0045	0.0995
p3.C1	p11.H9	0.0241	0.0022	0.0921
p3.C1	p12.G7	0.0445	0.0045	0.1000
p3.C1	p23.H1	0.0448	0.0045	0.0995
p3.C1	p26.A2	0.0448	0.0045	0.0995
p3.C1	p26.E9	0.0154	0.0022	0.1433
p3.C1	p26.F2	0.0448	0.0045	0.0995
p3.C1	p2.B9	0.0448	0.0045	0.0995
p3.C8	p11.H9	0.0791	0.0067	0.0844
p3.C8	p12.G7	0.0824	0.0089	0.1084
p3.C8	p26.E9	0.0352	0.0067	0.1893
p3.C8	p26.G7	0.0448	0.0045	0.0995
p3.C8	p3.C1	0.0448	0.0045	0.0995
p6.G8	p12.G7	0.0661	0.0067	0.1009
p6.G8	p23.H1	0.0791	0.0067	0.0844
p6.G8	p26.A2	0.0791	0.0067	0.0844
p6.G8	p26.E9	0.0272	0.0044	0.1627
p6.G8	p26.F2	0.0791	0.0067	0.0844
p6.G8	p26.G7	0.0241	0.0022	0.0921
p6.G8	p2.B9	0.0791	0.0067	0.0844
p6.G8	p3.C1	0.0241	0.0022	0.0921
p6.G8	p3.C8	0.0791	0.0067	0.0844
p7.B1	p11.H9	0.0360	0.0022	0.0615
p7.B1	p12.G7	0.0520	0.0044	0.0852
p7.B1	p23.H1	0.0520	0.0044	0.0853
p7.B1	p26.A2	0.0520	0.0044	0.0853
p7.B1	p26.E9	0.0235	0.0022	0.0937
p7.B1	p26.F2	0.0520	0.0044	0.0853
p7.B1	p26.G7	0.0010	0.0001	0.0604
p7.B1	p2.B9	0.0520	0.0044	0.0853
p7.B1	p3.C1	0.0010	0.0001	0.0604
p7.B1	p3.C8	0.0520	0.0044	0.0853
p7.B1	p6.G8	0.0360	0.0022	0.0615
p25.G7	p11.H9	0.0273	0.0044	0.1621
p25.G7	p12.G7	0.0492	0.0067	0.1352
p25.G7	p23.H1	0.0393	0.0067	0.1698
p25.G7	p26.A2	0.0393	0.0067	0.1698
p25.G7	p26.E9	0.0010	0.0000	0.0150
p25.G7	p26.F2	0.0393	0.0067	0.1698
p25.G7	p26.G7	0.0177	0.0022	0.1253
p25.G7	p2.B9	0.0393	0.0067	0.1698
p25.G7	p3.C1	0.0177	0.0022	0.1253
p25.G7	p3.C8	0.0393	0.0067	0.1698
p25.G7	p6.G8	0.0273	0.0044	0.1621
p25.G7	p7.B1	0.0200	0.0022	0.1104
p24.E1	p11.H9	0.0636	0.0044	0.0695
p24.E1	p12.G7	0.0712	0.0067	0.0934
p24.E1	p23.H1	0.0361	0.0022	0.0612
p24.E1	p26.A2	0.0361	0.0022	0.0612
p24.E1	p26.E9	0.0321	0.0044	0.1373
p24.E1	p26.F2	0.0361	0.0022	0.0612
p24.E1	p26.G7	0.0261	0.0022	0.0848
p24.E1	p2.B9	0.0361	0.0022	0.0612
p24.E1	p3.C1	0.0261	0.0022	0.0848
p24.E1	p3.C8	0.0361	0.0022	0.0612
p24.E1	p6.G8	0.0636	0.0044	0.0695
p24.E1	p7.B1	0.0577	0.0022	0.0382
p24.E1	p25.G7	0.0323	0.0044	0.1367
p5.F9	p11.H9	0.0791	0.0067	0.0844
p5.F9	p12.G7	0.0824	0.0089	0.1084
p5.F9	p26.E9	0.0352	0.0067	0.1893
p5.F9	p26.G7	0.0448	0.0045	0.0995
p5.F9	p3.C1	0.0448	0.0045	0.0995
p5.F9	p6.G8	0.0791	0.0067	0.0844
p5.F9	p7.B1	0.0520	0.0044	0.0853
p5.F9	p25.G7	0.0393	0.0067	0.1698
p5.F9	p24.E1	0.0361	0.0022	0.0612
p1.A9	p11.H9	0.0725	0.0067	0.0921
p1.A9	p12.G7	0.0894	0.0089	0.1000
p1.A9	p26.E9	0.0371	0.0067	0.1797
p1.A9	p26.G7	0.0416	0.0045	0.1072
p1.A9	p3.C1	0.0416	0.0045	0.1072
p1.A9	p6.G8	0.0726	0.0067	0.0921
p1.A9	p7.B1	0.0477	0.0044	0.0931
p1.A9	p25.G7	0.0415	0.0067	0.1606
p1.A9	p24.E1	0.0321	0.0022	0.0689
p3.F1	p11.H9	0.0525	0.0044	0.0846
p3.F1	p12.G7	0.0367	0.0022	0.0604
p3.F1	p23.H1	0.0726	0.0067	0.0921
p3.F1	p26.A2	0.0726	0.0067	0.0921
p3.F1	p26.E9	0.0437	0.0044	0.1013
p3.F1	p26.F2	0.0726	0.0067	0.0921
p3.F1	p26.G7	0.0328	0.0022	0.0677
p3.F1	p2.B9	0.0726	0.0067	0.0921
p3.F1	p3.C1	0.0328	0.0022	0.0677
p3.F1	p3.C8	0.0726	0.0067	0.0921
p3.F1	p6.G8	0.0525	0.0044	0.0846
p3.F1	p7.B1	0.0417	0.0022	0.0530
p3.F1	p25.G7	0.0525	0.0044	0.0843
p3.F1	p24.E1	0.0574	0.0044	0.0771
p3.F1	p5.F9	0.0726	0.0067	0.0921
p3.F1	p1.A9	0.0671	0.0067	0.0998
p6.B2	p11.H9	0.0287	0.0022	0.0770
p6.B2	p12.G7	0.0523	0.0044	0.0848
p6.B2	p23.H1	0.0439	0.0044	0.1011
p6.B2	p26.A2	0.0439	0.0044	0.1011
p6.B2	p26.E9	0.0236	0.0022	0.0933
p6.B2	p26.F2	0.0439	0.0044	0.1011
p6.B2	p26.G7	0.0010	0.0001	0.0757
p6.B2	p2.B9	0.0439	0.0044	0.1011
p6.B2	p3.C1	0.0010	0.0001	0.0757
p6.B2	p3.C8	0.0439	0.0044	0.1011
p6.B2	p6.G8	0.0287	0.0022	0.0770
p6.B2	p7.B1	0.0010	0.0000	0.0148
p6.B2	p25.G7	0.0201	0.0022	0.1099
p6.B2	p24.E1	0.0412	0.0022	0.0535
p6.B2	p5.F9	0.0439	0.0044	0.1011
p6.B2	p1.A9	0.0479	0.0044	0.0927
p6.B2	p3.F1	0.0324	0.0022	0.0684
p24.H5	p11.H9	0.0218	0.0022	0.1014
p24.H5	p12.G7	0.0406	0.0044	0.1093
p24.H5	p23.H1	0.0353	0.0044	0.1260
p24.H5	p26.A2	0.0353	0.0044	0.1260
