Gene_1	Gene_2	dnds	dN	dS
p12.G7	p11.H9	0.0301	0.0044	0.1448
p23.H1	p11.H9	0.0251	0.0043	0.1722
p23.H1	p12.G7	0.0010	0.0001	0.0914
p26.A2	p11.H9	0.0251	0.0043	0.1722
p26.A2	p12.G7	0.0010	0.0001	0.0914
p26.E9	p11.H9	0.0251	0.0043	0.1722
p26.E9	p12.G7	0.0010	0.0001	0.0914
p26.F2	p11.H9	0.0251	0.0043	0.1722
p26.F2	p12.G7	0.0010	0.0001	0.0914
p26.G7	p11.H9	0.0010	0.0001	0.0670
p26.G7	p12.G7	0.0310	0.0044	0.1412
p26.G7	p23.H1	0.0206	0.0043	0.2109
p26.G7	p26.A2	0.0206	0.0043	0.2109
p26.G7	p26.E9	0.0206	0.0043	0.2109
p26.G7	p26.F2	0.0206	0.0043	0.2109
p2.B9	p11.H9	0.0251	0.0043	0.1722
p2.B9	p12.G7	0.0010	0.0001	0.0914
p2.B9	p26.G7	0.0206	0.0043	0.2109
p3.C1	p11.H9	0.0010	0.0001	0.0670
p3.C1	p12.G7	0.0310	0.0044	0.1412
p3.C1	p23.H1	0.0206	0.0043	0.2109
p3.C1	p26.A2	0.0206	0.0043	0.2109
p3.C1	p26.E9	0.0206	0.0043	0.2109
p3.C1	p26.F2	0.0206	0.0043	0.2109
p3.C1	p2.B9	0.0206	0.0043	0.2109
p3.C8	p11.H9	0.0251	0.0043	0.1722
p3.C8	p12.G7	0.0010	0.0001	0.0914
p3.C8	p26.G7	0.0206	0.0043	0.2109
p3.C8	p3.C1	0.0206	0.0043	0.2109
p6.G8	p11.H9	0.0402	0.0043	0.1078
p6.G8	p12.G7	0.0010	0.0001	0.1492
p6.G8	p23.H1	0.0010	0.0001	0.1341
p6.G8	p26.A2	0.0010	0.0001	0.1341
p6.G8	p26.E9	0.0010	0.0001	0.1341
p6.G8	p26.F2	0.0010	0.0001	0.1341
p6.G8	p26.G7	0.0302	0.0043	0.1437
p6.G8	p2.B9	0.0010	0.0001	0.1341
p6.G8	p3.C1	0.0302	0.0043	0.1437
p6.G8	p3.C8	0.0010	0.0001	0.1341
p7.B1	p11.H9	0.0252	0.0043	0.1710
p7.B1	p12.G7	0.0010	0.0001	0.0908
p7.B1	p23.H1	0.0010	0.0000	0.0360
p7.B1	p26.A2	0.0010	0.0000	0.0360
p7.B1	p26.E9	0.0010	0.0000	0.0360
p7.B1	p26.F2	0.0010	0.0000	0.0360
p7.B1	p26.G7	0.0207	0.0043	0.2094
p7.B1	p2.B9	0.0010	0.0000	0.0360
p7.B1	p3.C1	0.0207	0.0043	0.2094
p7.B1	p3.C8	0.0010	0.0000	0.0342
p7.B1	p6.G8	0.0010	0.0001	0.1332
p25.G7	p11.H9	0.0684	0.0087	0.1271
p25.G7	p12.G7	0.0825	0.0043	0.0525
p25.G7	p23.H1	0.0582	0.0043	0.0738
p25.G7	p26.A2	0.0582	0.0043	0.0738
p25.G7	p26.E9	0.0582	0.0043	0.0738
p25.G7	p26.F2	0.0582	0.0043	0.0738
p25.G7	p26.G7	0.0534	0.0087	0.1635
p25.G7	p2.B9	0.0582	0.0043	0.0738
p25.G7	p3.C1	0.0534	0.0087	0.1635
p25.G7	p3.C8	0.0582	0.0043	0.0738
p25.G7	p6.G8	0.0327	0.0043	0.1316
p25.G7	p7.B1	0.0586	0.0043	0.0732
p24.E1	p11.H9	0.0684	0.0087	0.1271
p24.E1	p12.G7	0.0825	0.0043	0.0525
p24.E1	p23.H1	0.0582	0.0043	0.0738
p24.E1	p26.A2	0.0582	0.0043	0.0738
p24.E1	p26.E9	0.0582	0.0043	0.0738
p24.E1	p26.F2	0.0582	0.0043	0.0738
p24.E1	p26.G7	0.0534	0.0087	0.1635
p24.E1	p2.B9	0.0582	0.0043	0.0738
p24.E1	p3.C1	0.0534	0.0087	0.1635
p24.E1	p3.C8	0.0582	0.0043	0.0738
p24.E1	p6.G8	0.0327	0.0043	0.1316
p24.E1	p7.B1	0.0586	0.0043	0.0732
p5.F9	p11.H9	0.0251	0.0043	0.1722
p5.F9	p12.G7	0.0010	0.0001	0.0914
p5.F9	p26.G7	0.0206	0.0043	0.2109
p5.F9	p3.C1	0.0206	0.0043	0.2109
p5.F9	p6.G8	0.0010	0.0001	0.1341
p5.F9	p7.B1	0.0010	0.0000	0.0360
p5.F9	p25.G7	0.0582	0.0043	0.0738
p5.F9	p24.E1	0.0582	0.0043	0.0738
p1.A9	p11.H9	0.0252	0.0043	0.1710
p1.A9	p12.G7	0.0010	0.0001	0.0908
p1.A9	p23.H1	0.0010	0.0000	0.0360
p1.A9	p26.A2	0.0010	0.0000	0.0360
p1.A9	p26.E9	0.0010	0.0000	0.0342
p1.A9	p26.F2	0.0010	0.0000	0.0360
p1.A9	p26.G7	0.0207	0.0043	0.2094
p1.A9	p2.B9	0.0010	0.0000	0.0360
p1.A9	p3.C1	0.0207	0.0043	0.2094
p1.A9	p3.C8	0.0010	0.0000	0.0342
p1.A9	p6.G8	0.0010	0.0001	0.1332
p1.A9	p25.G7	0.0586	0.0043	0.0732
p1.A9	p24.E1	0.0586	0.0043	0.0732
p1.A9	p5.F9	0.0010	0.0000	0.0360
p3.F1	p11.H9	0.0251	0.0043	0.1722
p3.F1	p12.G7	0.0010	0.0001	0.0914
p3.F1	p26.G7	0.0206	0.0043	0.2109
